epoch,step,train_loss,train_accuracy_step,val_accuracy_step,val_accuracy_epoch,val_loss,train_accuracy_epoch
0,49,2.932131052017212,0.3125,,,,
0,99,2.8090736865997314,0.34375,,,,
0,149,3.239337205886841,0.28125,,,,
0,199,3.1896750926971436,0.25,,,,
0,249,2.844292640686035,0.28125,,,,
0,299,3.0527634620666504,0.25,,,,
0,349,2.50119686126709,0.46875,,,,
0,399,2.6350514888763428,0.375,,,,
0,449,3.0278308391571045,0.28125,,,,
0,499,2.9077200889587402,0.34375,,,,
0,549,3.1723217964172363,0.21875,,,,
0,599,2.627034902572632,0.40625,,,,
0,649,2.964071273803711,0.34375,,,,
0,699,3.029561758041382,0.34375,,,,
0,749,2.7174880504608154,0.4375,,,,
0,799,2.888216495513916,0.34375,,,,
0,849,2.9948854446411133,0.34375,,,,
0,899,3.1154048442840576,0.28125,,,,
0,949,2.734084367752075,0.375,,,,
0,999,2.792323350906372,0.375,,,,
0,1049,2.8843445777893066,0.375,,,,
0,1099,3.0321357250213623,0.25,,,,
0,1149,2.7633466720581055,0.40625,,,,
0,1199,3.110609292984009,0.28125,,,,
0,1249,3.0391998291015625,0.25,,,,
0,1299,2.4895741939544678,0.375,,,,
0,1349,2.9289488792419434,0.28125,,,,
0,1399,2.596980571746826,0.40625,,,,
0,1449,3.0345304012298584,0.3125,,,,
0,1499,2.561354875564575,0.4375,,,,
0,1549,2.250454902648926,0.53125,,,,
0,1599,3.1452555656433105,0.21875,,,,
0,1649,2.8652634620666504,0.34375,,,,
0,1699,3.317817449569702,0.1875,,,,
0,1749,2.876796007156372,0.34375,,,,
0,1799,3.073884963989258,0.3125,,,,
0,1849,3.2140324115753174,0.28125,,,,
0,1899,2.9878880977630615,0.25,,,,
0,1949,3.098149061203003,0.25,,,,
0,1999,3.2784266471862793,0.21875,,,,
0,2049,2.703758716583252,0.46875,,,,
0,2099,2.880094289779663,0.34375,,,,
0,2149,3.0531105995178223,0.21875,,,,
0,2199,2.587705612182617,0.375,,,,
0,2249,2.997621774673462,0.21875,,,,
0,2299,3.324902057647705,0.21875,,,,
0,2349,2.9228670597076416,0.28125,,,,
0,2399,2.6155076026916504,0.34375,,,,
0,2449,2.698667287826538,0.40625,,,,
0,2499,2.811175584793091,0.28125,,,,
0,2549,2.9957122802734375,0.21875,,,,
0,2599,2.574528932571411,0.34375,,,,
0,2649,3.013068675994873,0.3125,,,,
0,2699,2.950300693511963,0.28125,,,,
0,2749,2.7974488735198975,0.3125,,,,
0,2799,3.0217185020446777,0.25,,,,
0,2849,2.337306022644043,0.46875,,,,
0,2899,2.748993396759033,0.375,,,,
0,2949,2.804018259048462,0.34375,,,,
0,2999,3.0066425800323486,0.28125,,,,
0,3049,2.838515520095825,0.28125,,,,
0,3099,2.278392791748047,0.46875,,,,
0,3149,3.010258436203003,0.25,,,,
,0,,,0.34375,,,
,1,,,0.28125,,,
,2,,,0.3125,,,
,3,,,0.28125,,,
,4,,,0.21875,,,
,5,,,0.375,,,
,6,,,0.3125,,,
,7,,,0.25,,,
,8,,,0.375,,,
,9,,,0.21875,,,
,10,,,0.3125,,,
,11,,,0.25,,,
,12,,,0.21875,,,
,13,,,0.3125,,,
,14,,,0.5,,,
,15,,,0.1875,,,
,16,,,0.46875,,,
,17,,,0.34375,,,
,18,,,0.34375,,,
,19,,,0.375,,,
,20,,,0.34375,,,
,21,,,0.375,,,
,22,,,0.1875,,,
,23,,,0.3125,,,
,24,,,0.40625,,,
,25,,,0.28125,,,
,26,,,0.5,,,
,27,,,0.40625,,,
,28,,,0.28125,,,
,29,,,0.4375,,,
,30,,,0.34375,,,
,31,,,0.28125,,,
,32,,,0.3125,,,
,33,,,0.34375,,,
,34,,,0.375,,,
,35,,,0.375,,,
,36,,,0.34375,,,
,37,,,0.28125,,,
,38,,,0.28125,,,
,39,,,0.1875,,,
,40,,,0.4375,,,
,41,,,0.25,,,
,42,,,0.1875,,,
,43,,,0.3125,,,
,44,,,0.40625,,,
,45,,,0.25,,,
,46,,,0.375,,,
,47,,,0.4375,,,
,48,,,0.25,,,
,49,,,0.34375,,,
,50,,,0.40625,,,
,51,,,0.25,,,
,52,,,0.375,,,
,53,,,0.3125,,,
,54,,,0.34375,,,
,55,,,0.3125,,,
,56,,,0.1875,,,
,57,,,0.25,,,
,58,,,0.25,,,
,59,,,0.3125,,,
,60,,,0.28125,,,
,61,,,0.3125,,,
,62,,,0.28125,,,
,63,,,0.375,,,
,64,,,0.375,,,
,65,,,0.21875,,,
,66,,,0.53125,,,
,67,,,0.3125,,,
,68,,,0.3125,,,
,69,,,0.25,,,
,70,,,0.375,,,
,71,,,0.375,,,
