                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0439,                 4.6827,                 1.9134,                0.00333,                      1,                0.24719,                0.05553,                 1.6562,                 3.5661,                 1.5714,                0.00044,                0.00044,                0.00044
                      2,                 1.7958,                 3.6668,                 1.6188,                0.32769,                0.20916,                0.14124,                0.02994,                 1.7785,                 3.6055,                 2.2113,             0.00089756,             0.00089756,             0.00089756
                      3,                 1.7709,                 3.3786,                 1.6256,                0.29213,                0.45714,                0.39576,                0.11775,                 1.9863,                 8.2216,                 2.0646,              0.0013453,              0.0013453,              0.0013453
                      4,                  1.776,                 2.9558,                 1.6133,                0.01153,                0.22857,                0.01756,                0.00647,                 2.4146,                 51.668,                 2.2895,              0.0017759,              0.0017759,              0.0017759
                      5,                 1.7248,                  2.806,                 1.6346,                0.43345,                0.54286,                0.39581,                0.13953,                 2.3383,                 4.3077,                 2.5921,              0.0019144,              0.0019144,              0.0019144
                      6,                 1.7735,                 2.7067,                 1.7482,                0.17382,                    0.6,                0.24564,                0.08212,                 1.9987,                 14.042,                 2.1216,              0.0019144,              0.0019144,              0.0019144
                      7,                 1.7639,                 2.3442,                 1.6852,                   0.33,                    0.4,                0.31294,                0.10506,                 2.1231,                 2.6107,                  1.886,              0.0018674,              0.0018674,              0.0018674
                      8,                 1.7633,                  2.118,                 1.6287,                0.19315,                0.14286,                0.09998,                0.02347,                 2.4496,                 3.3678,                 2.1386,              0.0018109,              0.0018109,              0.0018109
                      9,                 1.6935,                  1.863,                 1.6657,                0.48923,                0.65714,                0.51325,                0.18355,                 2.2478,                 1.9751,                 1.9412,              0.0017457,              0.0017457,              0.0017457
                     10,                 1.6218,                 1.7604,                 1.5622,                 0.6132,                0.51429,                0.49231,                0.15443,                  2.203,                 2.1101,                 1.8711,              0.0016724,              0.0016724,              0.0016724
                     11,                 1.6146,                 1.6862,                 1.5518,                0.73865,                0.64624,                0.67578,                 0.2097,                 2.1572,                 1.5245,                 1.8706,              0.0015919,              0.0015919,              0.0015919
                     12,                 1.5654,                 1.6328,                 1.5513,                0.66111,                    0.6,                0.60583,                0.21839,                 1.7719,                  1.629,                 1.5727,               0.001505,               0.001505,               0.001505
                     13,                 1.6091,                 1.5402,                 1.5012,                0.60846,                0.62857,                0.69204,                 0.2441,                 2.0957,                 1.5705,                 1.7679,              0.0014127,              0.0014127,              0.0014127
